Module,DICOM Reference,Attribute Name,Tag,DICOM Type,MADO IHE Usage,in_dicom,in_mado,difference_type,DICOM Description,MADO Description,MADO instruction,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Review comment
SOP Common,C.12.1,>Coding Scheme External ID,"(0008,0114)",2C,,Y,,dicom_only,"The Coding Scheme identifier as defined in an external registry. Required if Coding Scheme is registered and Coding Scheme UID (0008,010C) is not present.",,,,,,,,
SOP Common,C.12.1,>Coding Scheme Name,"(0008,0115)",3,,Y,,dicom_only,The Coding Scheme full common name.,,,,,,,,
SOP Common,C.12.1,>Coding Scheme Version,"(0008,0103)",3,,Y,,dicom_only,"The Coding Scheme version associated with the Coding Scheme Designator (0008,0102).",,,,,,,,
SOP Common,C.12.1,>Coding Scheme Responsible Organization,"(0008,0116)",3,,Y,,dicom_only,Name of the organization responsible for the Coding Scheme. May include organizational contact information.,,,,,,,,
SOP Common,C.12.1,>Coding Scheme Resources Sequence,"(0008,0109)",3,,Y,,dicom_only,Resources related to the Coding Scheme. One or more Items are permitted in this Sequence.,,,,,,,,
SOP Common,C.12.1,>>Coding Scheme URL Type,"(0008,010A)",1,,Y,,dicom_only,"The type of the resource related to the Coding Scheme at the Coding Scheme URL (0008,010E). Defined Terms: DOC The resource is human-readable information describing the Coding Scheme. OWL The resource contains an OWL file that contains a representation of the Coding Scheme. CSV The resource contains a comma separated value text file that contains a representation of the Coding Scheme. FHIR The resource is a FHIR CodingScheme, e.g., as would be referred to in the Coding.system element of a FHIR Coding resource.",,,,,,,,
SOP Common,C.12.1,>>Coding Scheme URL,"(0008,010E)",1,,Y,,dicom_only,A resource related to the Coding Scheme.,,,,,,,,
SOP Common,C.12.1,Context Group Identification Sequence,"(0008,0123)",3,,Y,,dicom_only,"Sequence of Items that map Values of Context Identifier (0008,010F) to an external, private or local Context Group. One or more Items are permitted in this Sequence.",,,,,,,,
SOP Common,C.12.1,>Context Identifier,"(0008,010F)",1,,Y,,dicom_only,The identifier of the Context Group. See Section 8.6.,,,,,,,,
SOP Common,C.12.1,>Context UID,"(0008,0117)",3,,Y,,dicom_only,The unique identifier of the Context Group. See Section 8.6.,,,,,,,,
SOP Common,C.12.1,>Mapping Resource,"(0008,0105)",1,,Y,,dicom_only,The identifier of the Mapping Resource that defines the Context Group. See Section 8.4.,,,,,,,,
SOP Common,C.12.1,>Context Group Version,"(0008,0106)",1,,Y,,dicom_only,The identifier of the version of the Context Group. See Section 8.5.,,,,,,,,
SOP Common,C.12.1,Mapping Resource Identification Sequence,"(0008,0124)",3,,Y,,dicom_only,"Sequence of Items that map Values of Mapping Resource (0008,0105) to an external, private or local Mapping Resource. One or more Items are permitted in this Sequence.",,,,,,,,
SOP Common,C.12.1,>Mapping Resource,"(0008,0105)",1,,Y,,dicom_only,The identifier of the Mapping Resource. See Section 8.4.,,,,,,,,
SOP Common,C.12.1,>Mapping Resource UID,"(0008,0118)",3,,Y,,dicom_only,The unique identifier of the Mapping Resource.,,,,,,,,
SOP Common,C.12.1,>Mapping Resource Name,"(0008,0122)",3,,Y,,dicom_only,The name of the Mapping Resource. See Section 8.4.,,,,,,,,
SOP Common,C.12.1,Timezone Offset From UTC,"(0008,0201)",3,,Y,Y,both,"Contains the offset from UTC to the timezone for all DA and TM Attributes present in this SOP Instance, and for all DT Attributes present in this SOP Instance that do not contain an explicitly encoded timezone offset. See Section C.12.1.1.8 The local timezone offset is undefined if this Attribute is absent.",Contains the offset from UTC for the timezone in which the manifest was created. It applies to all DA and TM Attributes of the Manifest.,,,,,,,
